sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C)
11,12626,LH2,2100,750,9.888951074668508,0.000451205044357,0.0291036
11,12657,LH2,2100,750,9.888882760692308,0.0002096119675095,0.0418818
11,12658,LH2,2100,750,9.88888927292887,0.0001746053399815,0.0206506
11,12675,LH2,2100,750,9.888604490863784,0.0003353520599842,0.0290791
11,12676,LH2,2100,750,9.888460931185566,0.0002920428423012,0.033554
11,12677,LH2,2100,750,9.888620975375376,0.0003835290270836,0.0297664
11,12691,LH2,2100,750,9.88893045335463,0.0002279616205818,0.0314396
11,12692,LH2,2100,750,9.888942459766666,0.0002131442950868,0.0307525
11,12704,LH2,2100,750,9.88912550128898,0.0001588032280741,0.0534928
11,12705,LH2,2100,750,9.88915739958525,0.0001600020570973,0.0204928
11,12716,LH2,2100,750,9.889119245965166,0.000135639303821,0.0712513
11,12730,LH2,0,750,9.889016309855371,0.0001850372648649,0.0511156
11,12731,LH2,0,750,9.888980676543207,0.0001572859811475,0.0718537
11,12747,LH2,2100,750,9.889239452,5.211524598241663e-05,0.00115951
11,12758,LH2,2100,750,9.889349554634148,0.0002325935310323,0.0453372
11,12765,LH2,2100,750,9.88941094596774,0.0002048942572682,0.0262135
11,12776,LH2,2100,750,9.889423020150096,0.0001659127276505,0.0507478
11,12777,LH2,2100,750,9.889441495113266,0.0002253366025873,0.0277777
11,12809,LH2,2100,750,9.88946675552356,0.0002434157402644,0.0360143
11,12810,LH2,2100,750,9.889326569568963,0.000195444314567,0.0123868
11,12812,LH2,2100,750,9.88920606674074,0.0001871900693918,0.0128231
11,12822,LH2,2100,750,9.88962866646302,0.0002656690281093,0.0349274
11,12823,LH2,2100,750,9.889551897927928,0.0002930417190399,0.0353483
11,12895,LH2,2100,750,9.888584449984776,0.0003602997100722,0.0661107
11,12910,LH2,2100,750,9.889264046543,0.0002274340305996,0.05959
11,12923,LH2,2100,750,9.889293596284986,0.0003686249786675,0.0310937
11,12930,LH2,2100,750,9.889453182328769,0.0002628155448231,0.0318675
11,12931,LH2,2100,750,9.889406354511545,0.0002572592492526,0.0573409
11,12959,LH2,2100,750,9.88903314661742,0.0002055974161184,0.122723
11,12960,LH2,2100,750,9.888932273157891,0.0002387457405797,0.00204899
11,12973,LH2,2100,750,9.888887916974026,0.0004169362894271,0.0698776
11,12974,LH2,2100,750,9.88915811819407,0.000188697189593,0.0785704
11,13027,LH2,2100,750,9.888480978333334,0.0003718401234238,0.0696591
11,13028,LH2,2100,750,9.8885835541116,0.0003096360197514,0.0682289
11,13041,LH2,2100,750,9.888929748443935,0.000539329923142,0.0394405
11,13042,LH2,2100,750,9.888904472793458,0.0006199786043859,0.0708942
11,13043,LH2,2100,750,9.888914028469388,0.0003371379543503,0.0303618
11,13056,LH2,2100,750,9.888909710689148,0.0002183357200187,0.0665765
11,13057,LH2,2100,750,9.888856039743589,0.0001896828417136,0.067772
14,13239,LH2,1470,750,5.983121273119265,0.0001060986626934,0.00855728
14,13240,LH2,1470,750,5.982973134938271,0.0001285927071416,0.00344171
14,13241,LH2,1470,750,5.9830579875,0.0002041183255467,0.0151985
14,13242,LH2,1470,750,5.983056774193548,0.0004478144497826,0.00632764
14,13243,LH2,1470,750,5.983321152682927,0.0001794210219269,0.00704412
14,13244,LH2,1470,750,5.983233216855895,0.0001417711217397,0.0130988
14,13312,LH2,1470,750,5.982906528330403,0.0003123435364634,0.0410001
14,13313,LH2,1470,750,5.982803714303797,0.0002028799162643,0.0416487
14,13320,LH2,1470,750,5.98324514755784,0.0002673079975054,0.0135617
14,13321,LH2,1470,750,5.982690726754832,0.0003997864869279,0.0719708
14,13345,LH2,1470,750,5.982789474285713,0.0004158001171736,0.023673
14,13346,LH2,1470,750,5.9831798320398,0.0004047083911079,0.0108656
14,13348,LH2,1470,750,5.9825209796163055,0.0003893705162033,0.0325123
14,13349,LH2,1470,750,5.9825794881573895,0.0004307593032207,0.0383572
14,13351,LH2,1470,750,5.982892269689703,0.0005046552563396,0.0435162
14,13352,LH2,1470,750,5.982584763130081,0.0003614992796305,0.0232246
14,13375,LH2,0,750,5.982578844657836,0.0003875329634795,0.0611402
14,13376,LH2,0,750,5.982691858015716,0.0004244978825854,0.0452497
14,13377,LH2,0,750,5.98245843105263,5.794377877593361e-05,0.00239158
14,13378,LH2,0,750,5.982692370713101,0.0003069034611183,0.0595676
14,13379,LH2,1470,750,5.9827502273584905,0.0003090419390303,0.0923246
14,13396,LH2,1470,750,5.982605305931034,0.0003669213200335,0.0144361
