sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge(C)
7,12057,LD2,1785,750,7.930813839261083,0.0005233809557308,0.0215622
7,12059,LD2,1785,750,7.930859097783251,0.000444947913678,0.0161023
7,12060,LD2,1785,750,7.930650789999999,0.000572644050578,0.00869104
7,12062,LD2,1785,750,7.931079823249999,0.0003628682558066,0.0197624
7,12063,LD2,1785,750,7.930977827290639,0.0004992977369826,0.0166414
7,12065,LD2,1785,750,7.930936202499999,0.0005577819677424,0.0203831
7,12066,LD2,1785,750,7.930732808719211,0.0006312519128624,0.00416998
7,12068,LD2,1785,750,7.931267193679999,0.0002103737170186,0.0157438
7,12069,LD2,1785,750,7.93114409029197,0.0006017277439892,0.00429183
7,12070,LD2,1785,750,7.931074088617884,0.0004889669636874,0.00391913
7,12071,LD2,1785,750,7.931032028817734,0.0005198527456761,0.0118818
7,12073,LD2,1785,750,7.931036623842363,0.0005241567816186,0.00910812
11,12314,LD2,2100,750,9.88870426393899,0.0003162078047177,0.0440307
11,12315,LD2,2100,750,9.888707548625304,0.0003933323182735,0.0452146
11,12316,LD2,2100,750,9.88889035103448,0.0003163301239384,0.00898726
11,12318,LD2,2100,750,9.88921937818701,0.0001078516784785,0.0164236
11,12319,LD2,2100,750,9.8892787175,0.0004416286767445,0.0143198
11,12321,LD2,2100,750,9.889070303440858,0.0003490474656101,0.00515549
11,12322,LD2,2100,750,9.889136407192115,0.0003470164127304,0.0244069
11,12323,LD2,2100,750,9.889332633614458,0.0003368766186263,0.00408657
11,12333,LD2,2100,750,9.888885786517132,0.0002253132379638,0.0873899
11,12337,LD2,2100,750,9.888971431404336,0.0003070718342661,0.0599664
11,12338,LD2,2100,750,9.889103086358972,0.0001818421082333,0.0190712
11,12339,LD2,2100,750,9.88912923165488,0.0002791566812783,0.0358327
11,12341,LD2,2100,750,9.889151923838028,0.0005444361485241,0.0054298
11,12342,LD2,2100,750,9.889125745559843,0.0001774123843921,0.0144721
11,12343,LD2,2100,750,9.889221085807126,0.0002739550887332,0.0120503
11,12344,LD2,2100,750,9.889260338967214,0.000189868215277,0.0160235
11,12346,LD2,2100,750,9.889342796089158,0.000213077673549,0.0519779
11,12347,LD2,2100,750,9.88926974583461,0.000150387958746,0.010298
11,12348,LD2,2100,750,9.889219186385676,0.0002393911714729,0.0437415
11,12349,LD2,2100,750,9.88921424763975,0.0001536098308963,0.00859545
11,12356,LD2,2100,750,9.888937963580355,0.0002914242497057,0.0535093
11,12357,LD2,2100,750,9.889217091325966,0.0001926453260279,0.00747054
11,12359,LD2,2100,750,9.889236618284883,0.0002118616262135,0.0577069
11,12360,LD2,2100,750,9.889193708026433,0.0002739217939111,0.0579585
11,12362,LD2,2100,750,9.889131824050631,0.0002427642523785,0.0595693
11,12364,LD2,2100,750,9.889067126057109,0.0001850515219895,0.103423
11,12366,LD2,2100,750,9.889148113420074,0.000265337061487,0.0137682
11,12371,LD2,2100,750,9.889217748613138,4.572225621633755e-05,0.00282669
11,12372,LD2,2100,750,9.889077885918368,0.0002213774040164,0.0228393
11,12373,LD2,2100,750,9.889086544716006,0.000188303060389,0.0331945
11,12374,LD2,2100,750,9.889094026666664,0.0001426659031881,0.0295728
11,12375,LD2,2100,750,9.889095651893491,0.0001406225908908,0.0294369
11,12376,LD2,2100,750,9.889140496297786,0.0001680282745758,0.0292659
11,12377,LD2,2100,750,9.889193513194709,0.0001403098269697,0.0296602
11,12378,LD2,2100,750,9.889233407777777,0.0001340146974126,0.0292717
